start node label,end node label
1040M,1040L
61M,61L
562M,562L
71M,71L
62M,62L
590M,590L
592M,592L
53M,53L
591M,591L
RLM,RLL
RHM,RHL
1040L,HMDB02068L
1040L,HMDB05060L
1040L,HMDB00220L
1040L,HMDB00827L
1040L,HMDB02212L
1040L,HMDB00207L
1040L,HMDB00673L
1040L,HMDB01043L
1040L,HMDB02925L
1040L,HMDB01999L
61L,HMDB00827L
61L,HMDB00638L
61L,HMDB00220L
562L,HMDB00211L
71L,HMDB00220L
71L,HMDB01423L
62L,HMDB00220L
561L,HMDB00131L
590L,HMDB01043L
590L,HMDB11134L
592L,HMDB06547L
53L,HMDB03466L
53L,HMDB00211L
100L,HMDB00067L
100L,HMDB02869L
140L,HMDB00067L
140L,HMDB01547L
591L,HMDB00673L
280L,HMDB00687L
280L,HMDB00687L
HMDB02068L,HMDB02068M
HMDB05060L,HMDB05060M
HMDB00220L,HMDB00220M
HMDB00207L,HMDB00207M
HMDB00673L,HMDB00673M
HMDB01043L,HMDB01043M
HMDB02925L,HMDB02925M
HMDB01999L,HMDB01999M
HMDB00638L,HMDB00638M
HMDB00220L,HMDB00220M
HMDB00211L,HMDB00211M
HMDB00220L,HMDB00220M
HMDB01043L,HMDB01043M
HMDB06547L,HMDB06547M
HMDB00211L,HMDB00211M
HMDB00673L,HMDB00673M
U2FL,U2FM
D2FL,D2FM
rangelowL,rangelowM
rangehighL,rangehighM
HMDB02068M,1040M
HMDB05060M,1040M
HMDB00220M,1040M
HMDB00207M,1040M
HMDB00673M,1040M
HMDB01043M,1040M
HMDB02925M,1040M
HMDB01999M,1040M
HMDB01206M,61M
HMDB00806M,61M
HMDB00207M,61M
HMDB00638M,61M
HMDB00220M,61M
HMDB00211M,562M
HMDB01206M,562M
HMDB01206M,71M
HMDB00220M,71M
HMDB01206M,62M
HMDB00220M,62M
HMDB01043M,590M
HMDB06547M,592M
HMDB00211M,53M
HMDB00673M,591M
HMDB00187M,970M
HMDB00161M,970M
HMDB00172M,970M
HMDB00965M,430M
HMDB01206M,20M
HMDB00094M,20M
HMDB00263M,20M
HMDB00094M,630M
HMDB00139M,630M
HMDB01206M,630M
HMDB01206M,900M
HMDB00187M,270M
HMDB00939M,270M
HMDB00161M,250M
